spiceartefactnational-identity-crisis-1 - Jack Pakenham, National Identity Crisis 1, 1995, Acrylic on canvas, 210 x 360 cm, Collection Irish Museum of Modern Art, Purchase, 2006 	dominance-anger_trust
spiceartefactrhythm-2 - Marina Abramović, Rhythm 2, 1974, Framed black and white photographs (diptych) with framed letter press text panel, Image framed (each) 100.3 x 75.6 cm Text framed 26 x 18.4 cm, Collection Irish Museum of Modern Art, Purchase, 1995 	dominance-anger_trust
spiceartefactsolar-breath-northern-caryatids - Michael Snow, Solar Breath (Northern Caryatids), 2005, Video (colour, sound), Duration: 60 min, Collection Irish Museum of Modern Art, Purchase, 2007 	dominance-anger_trust
spiceartefactnational-identity-crisis-1 - Jack Pakenham, National Identity Crisis 1, 1995, Acrylic on canvas, 210 x 360 cm, Collection Irish Museum of Modern Art, Purchase, 2006 	dominance-trust_anger
spiceartefactrhythm-2 - Marina Abramović, Rhythm 2, 1974, Framed black and white photographs (diptych) with framed letter press text panel, Image framed (each) 100.3 x 75.6 cm Text framed 26 x 18.4 cm, Collection Irish Museum of Modern Art, Purchase, 1995 	dominance-trust_anger
spiceartefactsolar-breath-northern-caryatids - Michael Snow, Solar Breath (Northern Caryatids), 2005, Video (colour, sound), Duration: 60 min, Collection Irish Museum of Modern Art, Purchase, 2007 	dominance-trust_anger
spiceartefactnational-identity-crisis-1 - Jack Pakenham, National Identity Crisis 1, 1995, Acrylic on canvas, 210 x 360 cm, Collection Irish Museum of Modern Art, Purchase, 2006 	envy-anger_sadness
spiceartefactmenhir-bloody-sunday - Anne Madden, Menhir (Bloody Sunday), 1976, Acrylic on cotton duck canvas, 195 x 114 cm, Collection Irish Museum of Modern Art, Donation, 2010 	envy-anger_sadness
spiceartefactmenhir-bloody-sunday - Anne Madden, Menhir (Bloody Sunday), 1976, Acrylic on cotton duck canvas, 195 x 114 cm, Collection Irish Museum of Modern Art, Donation, 2010 	envy-sadness_anger
spiceartefactdisplay-case - Simon R. English, Display Case, 1997, Oil on panel, 62 x 125 cm, Collection Irish Museum of Modern Art, Donated, 1998 	hope-anticipation_trust
